key,english,placeholders,where_it_appears
c.loc.save,Save,,Shopper: account; Shopper: cart; Shopper: khata
c.loc.set,Set location,,Shopper: account; Shopper: cart; Shopper: khata
c.loc.title,Choose your location,,Shopper: account; Shopper: cart; Shopper: khata
c.loc.town,Town,,Shopper: account; Shopper: cart; Shopper: khata
c.loc.village,Village,,Shopper: account; Shopper: cart; Shopper: khata
c.noProductsFound,No products found. Try another word.,,Shopper: products
c.prepayHelper,"{due} clears your due, extra becomes advance",{due},Shopper: khata
c.prepayHelperNoDue,{amt} becomes an advance you can spend later,{amt},Shopper: khata
c.prepayMaxHint,You can pre-pay up to {amt} in advance,{amt},Shopper: khata
c.prepayTooMuch,You can pay at most {amt} right now.,{amt},Shopper: khata
c.productsTitle,Products,,Shopper: products; Shopper: shops
c.promo.sponsored,Sponsored,,Shopper: shop/[shopId]; Shopper: shops
c.recentSearches,Recent searches,,Shopper: products
c.searchProductsAll,Search products across shops,,Shopper: products; Shopper: shops
c.searching,Searching…,,Shopper: products
c.settledLabel,Settled — nothing due,,Shopper: khata
c.shopByCategory,Shop by category,,Shopper: products
c.theme.dark,Dark,,Shopper: account; Shopper: cart; Shopper: khata
c.theme.light,Light,,Shopper: account; Shopper: cart; Shopper: khata
c.theme.title,Theme,,Shopper: account; Shopper: cart; Shopper: khata
c.voiceIn,Listens in {language},{language},Shopper: products
c.youOwe,You owe {amt},{amt},Shopper: khata
cat.savePhoto,Save photo,,Shopkeeper: catalog
cat.uploadingPhoto,Uploading…,,Shopkeeper: catalog
champ.address,Deliver to,,Shopkeeper: d/[token]
champ.call,Call,,Shopkeeper: d/[token]
champ.doneMsg,Delivered. Thank you!,,Shopkeeper: d/[token]
champ.greeting,Hi {name},{name},Shopkeeper: d/[token]
champ.items,Items,,Shopkeeper: d/[token]
champ.loadError,Could not load right now. Pull to refresh.,,Shopkeeper: d/[token]
champ.loading,Loading…,,Shopkeeper: d/[token]
champ.markDelivered,Mark delivered,,Shopkeeper: d/[token]
champ.markPickedUp,Mark picked up,,Shopkeeper: d/[token]
champ.none,No deliveries right now. Check back soon.,,Shopkeeper: d/[token]
champ.notFound,This link is not valid or has expired.,,Shopkeeper: d/[token]
champ.pickedBadge,Picked up,,Shopkeeper: d/[token]
champ.refresh,Refresh,,Shopkeeper: d/[token]
champ.subtitle,"Your assigned deliveries. Mark each one picked up, then delivered.",,Shopkeeper: d/[token]
champ.title,My Deliveries,,Shopkeeper: d/[token]
champ.total,Order total,,Shopkeeper: d/[token]
champ.updating,Updating…,,Shopkeeper: d/[token]
coedit.cash,Pay {now} when you collect — {amount} of items were taken off.,{now} {amount},Shopper: orders/[id]
coedit.credit,{amount} has been taken off your khata at this shop.,{amount},Shopper: orders/[id]
coedit.intro,{shop} could not supply everything you ordered.,{shop},Shopper: orders/[id]
coedit.nowTotal,Your order now comes to {now}.,{now},Shopper: orders/[id]
coedit.prepaid,You had already paid. {amount} is kept as credit at this shop — it comes off your next order here.,{amount},Shopper: orders/[id]
coedit.reduced,{item} — {before} → {after},{item} {before} {after},Shopper: orders/[id]
coedit.removed,{item} — removed,{item},Shopper: orders/[id]
coedit.title,The shop adjusted your order,,Shopper: orders/[id]
coedit.wasSubtotal,Original items total {was},{was},Shopper: orders/[id]
common.refresh,Refresh,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
common.retry,Try again,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
content.nav,Content,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
credits.balanceLabel,Your Khata Credits,,Shopkeeper: account
credits.bySource,By source,,Shopkeeper: account
credits.earnedTitle,Earned so far,,Shopkeeper: account
credits.empty,No credits yet — refer a shop to start earning,,Shopkeeper: account
credits.kind.other,Adjustment,,Shopkeeper: account
credits.pending,{amt} pending,{amt},Shopkeeper: account
credits.recentTitle,Recent activity,,Shopkeeper: account
credits.spendNote,"Spend on your subscription, promos and more",,Shopkeeper: account
credits.title,Khata Credits,,Shopkeeper: account
