key,english,placeholders,where_it_appears
sup.supplier,Supplier,,Shopkeeper: suppliers/orders/[id]
sup.tabDiscover,Discover,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index; Shopkeeper: suppliers/ledger
sup.tabLedger,What I owe,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index; Shopkeeper: suppliers/ledger
sup.title,Suppliers near you,,Shopkeeper: suppliers/index
sup.typeSupply,Supply,,Shopkeeper: suppliers/ledger
sup.unitPrice,Unit price,,Shopkeeper: suppliers/orders/[id]
sup.viewEntries,View entries,,Shopkeeper: suppliers/ledger
sup.village,Village,,Shopkeeper: suppliers/index
txn.adjustment,adjustment,,Shopkeeper: customers/[id]; Shopper: account
voice.err.denied,Allow microphone access to search by voice,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops
voice.err.empty,Didn’t catch that — tap the mic and speak,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops
voice.err.generic,Voice search didn’t work — please type,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops
voice.err.ios,Voice search isn’t supported on iPhone yet — please type,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops
voice.err.network,Voice search needs a connection,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops
