key,english,placeholders,where_it_appears
err.offline,No internet right now. Check your connection and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.server,Something went wrong at our end. Please try again in a moment.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.signInRejected,"That number, email or password is not right. Please check and try again.",,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.signedOut,You have been signed out. Please sign in again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.slow,The network is too slow to finish that. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.suspended,This shop has been stopped by Smart Digital Khata. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.tooMany,Too many tries. Please wait a minute and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.accept,Accept,,Shopkeeper: orders
eta.chipHour,~{n} hour,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.chipHourMin,~{h} hr {m} min,{h} {m},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.chipMin,~{n} min,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.late,Past the time you promised,,Shopkeeper: orders; Shopkeeper: orders/[id]
eta.needMore,Need more time,,Shopkeeper: orders/[id]
eta.needMoreHelp,Pick a new time — the customer is told straight away.,,Shopkeeper: orders/[id]
eta.noPromise,No ready time promised,,Shopkeeper: orders/[id]
eta.noTime,Accept without a time,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.notNow,Not now,,Shopkeeper: orders; Shopkeeper: orders/[id]
eta.pickTime,Ready in about…,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.promisedBy,You promised ready by {time},{time},Shopkeeper: orders/[id]
eta.readyBy,Ready by {time},{time},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.sent,The customer has been told the new time.,,Shopkeeper: orders/[id]
eta.takingLonger,Taking a little longer,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
eta.takingLongerHelp,It was expected by {time}. It should not be much longer.,{time},Shopper: orders/[id]
mod.pendingAria,{n} items waiting for review,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.accept,Accept,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.decide,This keeps alerting until you accept or reject it.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.enableSound,Turn on sound,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.items,{n} items,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.more,+{n} more,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.mute30,Mute 30 min,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.open,Open,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.setClamped,The platform limits how often alerts may repeat — your value was adjusted to the nearest allowed one.,,Shopkeeper: settings
oalert.setEnabled,Alert me about new orders,,Shopkeeper: settings
oalert.setHelp,A new order keeps alerting you — here and on WhatsApp — until you ACCEPT it or REJECT it. Not now only quiets one order for a few minutes; it never stops the alert.,,Shopkeeper: settings
oalert.setMaxRepeats,Stop after (repeats),,Shopkeeper: settings
oalert.setMuteNow,Mute for 30 minutes,,Shopkeeper: settings
oalert.setMutedUntil,Muted until {when},{when},Shopkeeper: settings
oalert.setRepeat,Repeat every (minutes),,Shopkeeper: settings
oalert.setTitle,Order alerts,,Shopkeeper: settings
oalert.settings,Alert settings,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.snooze,Not now — {mins} min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.snoozedFor,Quiet for {mins} more min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.spoken,New order. {name}. {n} items. {amount} rupees.,{name} {n} {amount},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.stillWaiting,Still waiting — you have not answered this one yet.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.title,New order waiting,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.unmute,Unmute,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.waiting,waiting {mins} min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oedit.cancelInstead,You have taken off everything. Cancel the order instead.,,Shopkeeper: orders/[id]
oedit.confirm,Confirm the new order,,Shopkeeper: orders/[id]
oedit.feeMayChange,"If this takes the order under your free-delivery amount, the delivery fee is recalculated when you confirm.",,Shopkeeper: orders/[id]
oedit.help,"Take off what you do not have. You can only REMOVE items or LOWER quantities — nothing here can add an item, raise a quantity or change a price.",,Shopkeeper: orders/[id]
oedit.historyBy,"{who}, {when}",{who} {when},Shopkeeper: orders/[id]
oedit.historyReduced,{item} — {before} → {after},{item} {before} {after},Shopkeeper: orders/[id]; Shopper: orders/[id]
oedit.historyRemoved,{item} — removed,{item},Shopkeeper: orders/[id]; Shopper: orders/[id]
oedit.historyTitle,What was taken off,,Shopkeeper: orders/[id]
oedit.historyUnknownWho,the shop,,Shopkeeper: orders/[id]
oedit.keep,Leave it as it was,,Shopkeeper: orders/[id]
oedit.moneyCash,Collect {amount} less when you hand the order over.,{amount},Shopkeeper: orders/[id]
oedit.moneyCredit,{amount} will come off this customer's khata.,{amount},Shopkeeper: orders/[id]
oedit.moneyPrepaid,Already paid online — {amount} will be kept as credit at your shop for this customer.,{amount},Shopkeeper: orders/[id]
oedit.noChange,Nothing has been changed yet.,,Shopkeeper: orders/[id]
oedit.originalSubtotal,Original subtotal,,Shopkeeper: orders/[id]
oedit.reducedBy,You are taking off {amount}.,{amount},Shopkeeper: orders/[id]
oedit.remove,Remove,,Shopkeeper: orders/[id]
oedit.removedTag,Removed,,Shopkeeper: orders/[id]
oedit.restore,Put back,,Shopkeeper: orders/[id]
oedit.saved,The order has been reduced. The customer has been told what changed.,,Shopkeeper: orders/[id]
oedit.saving,Saving…,,Shopkeeper: orders/[id]
oedit.start,Not everything in stock?,,Shopkeeper: orders/[id]
oedit.startBtn,Reduce this order,,Shopkeeper: orders/[id]
oedit.thenAccept,Now accept it and tell the customer when it will be ready.,,Shopkeeper: orders/[id]
oedit.title,Reduce this order,,Shopkeeper: orders/[id]
oedit.was,Was {was},{was},Shopkeeper: orders/[id]
oedit.wasNow,Was {was} — now {now},{was} {now},Shopkeeper: orders/[id]
