key,english,placeholders,where_it_appears,translation
c.loc.title,Choose your location,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.town,Town,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.village,Village,,Shopper: account; Shopper: cart; Shopper: khata,
c.prepayHelper,"{due} clears your due, extra becomes advance",{due},Shopper: khata,
c.prepayHelperNoDue,{amt} becomes an advance you can spend later,{amt},Shopper: khata,
c.prepayMaxHint,You can pre-pay up to {amt} in advance,{amt},Shopper: khata,
c.prepayTooMuch,You can pay at most {amt} right now.,{amt},Shopper: khata,
c.productsTitle,Products,,Shopper: products; Shopper: shops,
c.promo.sponsored,Sponsored,,Shopper: shop/[shopId]; Shopper: shops,
c.settledLabel,Settled — nothing due,,Shopper: khata,
c.theme.dark,Dark,,Shopper: account; Shopper: cart; Shopper: khata,
c.theme.light,Light,,Shopper: account; Shopper: cart; Shopper: khata,
c.theme.title,Theme,,Shopper: account; Shopper: cart; Shopper: khata,
cat.savePhoto,Save photo,,Shopkeeper: catalog,
cat.uploadingPhoto,Uploading…,,Shopkeeper: catalog,
champ.address,Deliver to,,Shopkeeper: d/[token],
champ.call,Call,,Shopkeeper: d/[token],
champ.doneMsg,Delivered. Thank you!,,Shopkeeper: d/[token],
champ.greeting,Hi {name},{name},Shopkeeper: d/[token],
champ.loadError,Could not load right now. Pull to refresh.,,Shopkeeper: d/[token],
champ.markDelivered,Mark delivered,,Shopkeeper: d/[token],
champ.markPickedUp,Mark picked up,,Shopkeeper: d/[token],
champ.none,No deliveries right now. Check back soon.,,Shopkeeper: d/[token],
champ.notFound,This link is not valid or has expired.,,Shopkeeper: d/[token],
champ.pickedBadge,Picked up,,Shopkeeper: d/[token],
champ.refresh,Refresh,,Shopkeeper: d/[token],
champ.subtitle,"Your assigned deliveries. Mark each one picked up, then delivered.",,Shopkeeper: d/[token],
champ.title,My Deliveries,,Shopkeeper: d/[token],
champ.total,Order total,,Shopkeeper: d/[token],
champ.updating,Updating…,,Shopkeeper: d/[token],
common.refresh,Refresh,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
common.retry,Try again,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
content.nav,Content,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
credits.balanceLabel,Your Khata Credits,,Shopkeeper: account,
credits.bySource,By source,,Shopkeeper: account,
credits.earnedTitle,Earned so far,,Shopkeeper: account,
credits.empty,No credits yet — refer a shop to start earning,,Shopkeeper: account,
credits.pending,{amt} pending,{amt},Shopkeeper: account,
credits.recentTitle,Recent activity,,Shopkeeper: account,
credits.spendNote,"Spend on your subscription, promos and more",,Shopkeeper: account,
credits.title,Khata Credits,,Shopkeeper: account,
csfaq.subtitle,"Answers your shops have shared — timings, delivery, returns and more.",,Shopper: account,
csfaq.title,Questions about your shops,,Shopper: account,
ctab.products,Products,,Shopper: account; Shopper: cart; Shopper: khata,
dem.addItem,Add item,,Shopkeeper: suppliers/demand,
dem.boardTitle,Demand board,,Shopkeeper: suppliers/demand,
dem.cancel,Cancel need,,Shopkeeper: suppliers/demand,
dem.cancelConfirm,Cancel this demand post?,,Shopkeeper: suppliers/demand,
dem.claim,Claim & make order,,Shopkeeper: distributor/demand,
dem.claimedBy,Claimed by {name},{name},Shopkeeper: suppliers/demand,
dem.claiming,Claiming…,,Shopkeeper: distributor/demand,
dem.distSubtitle,Upcoming needs from shops near you. Claim one to make an order.,,Shopkeeper: distributor/demand,
dem.myPosts,My posted needs,,Shopkeeper: suppliers/demand,
dem.nav,Demand board,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dem.nearYou,Needs near you,,Shopkeeper: distributor/demand,
dem.needItem,Add at least one item with a quantity.,,Shopkeeper: suppliers/demand,
dem.neededBy,Needed by,,Shopkeeper: suppliers/demand,
dem.neededByOn,Needed by {when},{when},Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand,
dem.noDate,No date set,,Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand,
dem.noOpen,No open needs near you right now.,,Shopkeeper: distributor/demand,
dem.noPosts,You haven’t posted any needs yet.,,Shopkeeper: suppliers/demand,
dem.ownerSubtitle,Post what you need soon. Nearby farmers claim it and make the order.,,Shopkeeper: suppliers/demand,
dem.post,Post need,,Shopkeeper: suppliers/demand,
dem.postNeed,Post a need,,Shopkeeper: suppliers/demand,
dem.posted,Need posted.,,Shopkeeper: suppliers/demand,
dem.posting,Posting…,,Shopkeeper: suppliers/demand,
dem.viewOrder,View order,,Shopkeeper: suppliers/demand,
dist.accountSubtitle,How shops in your city find you.,,Shopkeeper: distributor/account,
dist.accountTitle,My profile,,Shopkeeper: distributor/account,
dist.activeOn,Active,,Shopkeeper: distributor/account,
dist.activeToggle,Listed to shops,,Shopkeeper: distributor/account,
dist.areYou,Are you a distributor? ,,Shopkeeper: login,
dist.brand,Supplier,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.brands,Brands,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.businessName,Business name,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.categories,Categories,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.confirm,Confirm order,,Shopkeeper: distributor/orders/[id],
dist.confirmed,Order confirmed.,,Shopkeeper: distributor/orders/[id],
dist.create,Create distributor account,,Shopkeeper: distributor/register,
dist.deliver,Mark delivered,,Shopkeeper: distributor/orders/[id],
dist.deliverHint,Marking delivered posts this order to the shop’s ledger.,,Shopkeeper: distributor/orders/[id],
dist.delivered,Order marked delivered.,,Shopkeeper: distributor/orders/[id],
dist.dispatch,Mark dispatched,,Shopkeeper: distributor/orders/[id],
dist.dispatched,Order marked dispatched.,,Shopkeeper: distributor/orders/[id],
dist.email,Email (optional),,Shopkeeper: distributor/register,
dist.empty,No purchase orders yet.,,Shopkeeper: distributor/index,
dist.farmerBadge,🌾 Farmer,,Shopkeeper: distributor/account,
dist.freshHint,"As a farmer, you sell Fresh Produce with no minimum order.",,Shopkeeper: distributor/register,
dist.freshProduce,Fresh Produce,,Shopkeeper: distributor/register,
dist.haveAccount,Already registered? ,,Shopkeeper: distributor/register,
dist.iAm,I am a…,,Shopkeeper: distributor/register,
dist.itemsN,{n} item{s},{n} {s},Shopkeeper: distributor/index,
dist.kindDistributor,Distributor,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.kindFarmer,Farmer (Fresh Produce),,Shopkeeper: distributor/register,
dist.listHint,Comma-separated.,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.minOrderRs,Minimum order (₹),,Shopkeeper: distributor/account,
dist.navAccount,Account,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.payAmountRs,Amount received (₹),,Shopkeeper: distributor/shops,
dist.payFrom,Payment from {name},{name},Shopkeeper: distributor/shops,
dist.payMethod,Method,,Shopkeeper: distributor/shops,
dist.paySave,Save payment,,Shopkeeper: distributor/shops,
dist.paySaved,Payment recorded.,,Shopkeeper: distributor/shops,
dist.placedOn,Placed {when},{when},Shopkeeper: distributor/index,
dist.priceFirst,Set a price on every item before confirming.,,Shopkeeper: distributor/orders/[id],
dist.pricesHint,Enter a unit price in ₹ for each item. The subtotal updates as you type.,,Shopkeeper: distributor/orders/[id],
dist.pricesSaved,Prices saved.,,Shopkeeper: distributor/orders/[id],
dist.recordPayment,Record payment,,Shopkeeper: distributor/shops,
dist.registerCta,Register,,Shopkeeper: login,
dist.registerSubtitle,List your business and start receiving orders from shops in your city.,,Shopkeeper: distributor/register,
dist.registerTitle,Register as a distributor,,Shopkeeper: distributor/register,
dist.savePrices,Save prices,,Shopkeeper: distributor/orders/[id],
dist.setPrices,Set your prices,,Shopkeeper: distributor/orders/[id],
dist.shopsEmpty,No shops trade with you yet.,,Shopkeeper: distributor/shops,
dist.shopsSubtitle,Shops that order from you and what each owes.,,Shopkeeper: distributor/shops,
dist.subtitle,"Purchase orders from shops. Price the items, confirm, and fulfil.",,Shopkeeper: distributor/index,
dist.title,Incoming orders,,Shopkeeper: distributor/index,
dist.unitPriceRs,Unit price (₹),,Shopkeeper: distributor/orders/[id],
dist.village,Village,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.whatsapp,WhatsApp number,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.yourName,Your name,,Shopkeeper: distributor/register,
dlv.activate,Activate,,Shopkeeper: delivery,
dlv.active,Active,,Shopkeeper: delivery,
dlv.activeDeliveries,{n} active,{n},Shopkeeper: delivery,
dlv.add,Add champion,,Shopkeeper: delivery,
dlv.addTitle,Add a champion,,Shopkeeper: delivery,
dlv.area,Area (optional),,Shopkeeper: delivery,
dlv.areaPlaceholder,e.g. Sector 5 / 560001,,Shopkeeper: delivery,
dlv.assign,Assign,,Shopkeeper: delivery,
dlv.assigning,Assigning…,,Shopkeeper: delivery,
dlv.champion,Champion,,Shopkeeper: delivery,
dlv.champions,Champions,,Shopkeeper: delivery,
dlv.copied,Copied!,,Shopkeeper: delivery,
dlv.copyLink,Copy link,,Shopkeeper: delivery,
dlv.deactivate,Deactivate,,Shopkeeper: delivery,
dlv.deliveredCount,{n} delivered,{n},Shopkeeper: delivery,
dlv.feeLabel,Incentive ₹ (optional),,Shopkeeper: delivery,
dlv.inactive,Inactive,,Shopkeeper: delivery,
dlv.namePlaceholder,e.g. Ravi,,Shopkeeper: delivery,
dlv.needChampion,Pick a champion first.,,Shopkeeper: delivery,
dlv.noChampions,No champions yet. Add your first delivery agent above.,,Shopkeeper: delivery,
dlv.noOrders,No home-delivery orders yet.,,Shopkeeper: delivery,
dlv.orders,Delivery orders,,Shopkeeper: delivery,
dlv.phone,Phone (optional),,Shopkeeper: delivery,
dlv.phonePlaceholder,e.g. 98xxxxxxxx,,Shopkeeper: delivery,
dlv.pickChampion,Pick a champion,,Shopkeeper: delivery,
dlv.subtitle,Register your delivery agents and assign home-delivery orders to them. Each champion gets a no-login link to mark orders picked up and delivered.,,Shopkeeper: delivery,
dlv.unassigned,Not assigned,,Shopkeeper: delivery,
err.accountStopped,This account has been stopped. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.signInRejected,"That number, email or password is not right. Please check and try again.",,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.suspended,This shop has been stopped by Smart Digital Khata. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
mod.pendingAria,{n} items waiting for review,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.enableSound,Turn on sound,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.mute30,Mute 30 min,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.open,Open,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.setClamped,The platform limits how often alerts may repeat — your value was adjusted to the nearest allowed one.,,Shopkeeper: settings,
oalert.setMutedUntil,Muted until {when},{when},Shopkeeper: settings,
oalert.settings,Alert settings,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.unmute,Unmute,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oedit.historyBy,"{who}, {when}",{who} {when},Shopkeeper: orders/[id],
oedit.moneyCredit,{amount} will come off this customer's khata.,{amount},Shopkeeper: orders/[id],
open.closureDate,Date,,Shopkeeper: settings,
open.open,Open,,Shopkeeper: dashboard,
ord.advanceCol,Advance,,Shopkeeper: orders,
ostatus.cancelledNote,This order was cancelled.,,Shopper: orders/[id],
own.pause,Pause,,Shopkeeper: dashboard,
pay.cashOnDelivery,Cash on delivery,,Shopper: orders/[id],
pay.cashOnPickup,Cash on pickup,,Shopper: orders/[id],
promo.balanceLabel,Your Khata Credits,,Shopkeeper: promote,
promo.clicks,Taps,,Shopkeeper: promote,
promo.costLabel,Cost,,Shopkeeper: promote,
promo.days,How many days,,Shopkeeper: promote,
promo.disabledNote,Shop promos are not available right now. Please check back later.,,Shopkeeper: promote,
promo.empty,No placements yet. Boost your shop above to appear to nearby shoppers.,,Shopkeeper: promote,
promo.freeCap,"Up to {days} days, and {max} free promo running at a time.",{days} {max},Shopkeeper: promote,
promo.freeDisabledNote,Free promo requests are not available right now. Please check back later.,,Shopkeeper: promote,
promo.freeLimit,You already have a free promo pending or live. Wait for it to finish before requesting another.,,Shopkeeper: promote,
promo.freeSubmit,Request free promo,,Shopkeeper: promote,
promo.freeSubmitted,Request sent for review. It goes live once approved.,,Shopkeeper: promote,
promo.freeSubmitting,Requesting…,,Shopkeeper: promote,
promo.freeSubtitle,No Khata Credits needed. Our team reviews it before it goes live.,,Shopkeeper: promote,
promo.freeTitle,Request a free promo,,Shopkeeper: promote,
promo.freeUsed,You have {count} of {max} free promo(s) pending or live.,{count} {max},Shopkeeper: promote,
promo.impr,Views,,Shopkeeper: promote,
promo.lowBalance,Not enough Khata Credits for this. Reduce the days or earn more credits.,,Shopkeeper: promote,
promo.myPlacements,My placements,,Shopkeeper: promote,
promo.nav,Boost,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
promo.offerPlaceholder,e.g. Fresh stock daily,,Shopkeeper: promote,
promo.offerText,Offer line (optional),,Shopkeeper: promote,
promo.paidBadge,Boosted,,Shopkeeper: promote,
promo.perDay,{amount} / day,{amount},Shopkeeper: promote,
promo.refundNote,"If a promo is rejected, your Khata Credits are refunded in full.",,Shopkeeper: promote,
promo.reviewNote,Review note,,Shopkeeper: promote,
promo.spent,Spent,,Shopkeeper: promote,
promo.stActive,Live,,Shopkeeper: promote,
promo.stDraft,Draft,,Shopkeeper: promote,
promo.stPaused,Paused,,Shopkeeper: promote,
promo.stPending,Pending review,,Shopkeeper: promote,
promo.stRejected,Rejected (refunded),,Shopkeeper: promote,
promo.submit,Boost for {amount},{amount},Shopkeeper: promote,
promo.submitted,Submitted for review. It goes live once approved.,,Shopkeeper: promote,
promo.submitting,Submitting…,,Shopkeeper: promote,
promo.subtitle,Spend your Khata Credits to feature your shop to nearby shoppers. A quick review keeps the marketplace clean before your promo goes live.,,Shopkeeper: promote,
promo.subtitleField,Subtitle (optional),,Shopkeeper: promote,
promo.subtitlePlaceholder,e.g. Visit us today,,Shopkeeper: promote,
promo.title,Boost my shop,,Shopkeeper: promote,
promo.window,Runs,,Shopkeeper: promote,
pub.khata.footer,"Read-only statement, updated live by {shop}. Questions? Contact the shop directly.",{shop},Shopkeeper: khata/[token],
pub.khata.linkInvalid,This khata link is invalid or has been replaced by the shop.,,Shopkeeper: khata/[token],
pub.khata.linkInvalidTitle,Link not valid,,Shopkeeper: khata/[token],
pub.khata.recent,Recent entries,,Shopkeeper: khata/[token],
pub.khata.titleOf,{name}’s khata,{name},Shopkeeper: khata/[token],
pub.pay.awaiting,Awaiting payment,,Shopkeeper: pay/[orderId],
pub.pay.notFound,Order not found,,Shopkeeper: pay/[orderId],
pub.pay.paidAt,Paid at {when},{when},Shopkeeper: pay/[orderId],
pub.pay.received,Payment received,,Shopkeeper: pay/[orderId],
pub.pay.refreshHint,"If you paid moments ago, please refresh in a few seconds.",,Shopkeeper: pay/[orderId],
rc.nav,Ref campaigns,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
set.addPhoto,Add photo,,Shopkeeper: settings,
set.choosePhoto,Choose a photo,,Shopkeeper: settings,
set.keySecret,Key Secret,,Shopkeeper: settings,
set.photoLive,Live,,Shopkeeper: settings,
set.photoPending,Pending review,,Shopkeeper: settings,
set.photoRejected,Rejected,,Shopkeeper: settings,
set.photoUploadedPending,Photo added. It will show on your storefront once our team approves it.,,Shopkeeper: settings,
set.photosFull,You can add up to 3 photos. Remove one to add another.,,Shopkeeper: settings,
set.pincode,Pincode,,Shopkeeper: settings,
set.razorpayKeyId,Razorpay Key ID,,Shopkeeper: settings,
set.removePhoto,Remove photo,,Shopkeeper: settings,
set.shopPhotos,Storefront photos,,Shopkeeper: settings,
set.shopPhotosDesc,Up to 3 photos shown at the top of your storefront. New photos are checked by our team before they go live.,,Shopkeeper: settings,
set.village,Village,,Shopkeeper: settings,
set.webhookSecret,Webhook Secret,,Shopkeeper: settings,
sfaq.active,Show to customers,,Shopkeeper: settings,
sfaq.add,Add FAQ,,Shopkeeper: settings,
sfaq.answer,Answer,,Shopkeeper: settings,
sfaq.answerPlaceholder,e.g. We are open 8am–9pm every day.,,Shopkeeper: settings,
sfaq.empty,No FAQs yet. Add your first question and answer below.,,Shopkeeper: settings,
sfaq.needBoth,Please write both a question and an answer.,,Shopkeeper: settings,
sfaq.question,Question,,Shopkeeper: settings,
sfaq.questionPlaceholder,e.g. What are your shop timings?,,Shopkeeper: settings,
sfaq.subtitle,"Write answers to common questions for your customers — timings, delivery, returns, offers. These show on each customer’s account page.",,Shopkeeper: settings,
sfaq.title,Store FAQ,,Shopkeeper: settings,
share.captionCopied,Caption copied.,,Shopkeeper: dashboard,
share.copyCaption,Copy caption,,Shopkeeper: dashboard,
share.downloadBtn,Download,,Shopkeeper: dashboard,
share.downloaded,Poster downloaded.,,Shopkeeper: dashboard,
share.err,Could not make the poster on this device.,,Shopkeeper: dashboard,
share.offerDefault,Visit our shop today!,,Shopkeeper: dashboard,
share.offerLabel,Today's offer or message,,Shopkeeper: dashboard,
share.offerPlaceholder,e.g. Fresh stock today! Special discount till evening.,,Shopkeeper: dashboard,
share.preset1,Fresh stock today!,,Shopkeeper: dashboard,
share.preset2,Special discount today,,Shopkeeper: dashboard,
share.preset3,Free home delivery,,Shopkeeper: dashboard,
share.scanCta,Scan to open our shop,,Shopkeeper: dashboard,
share.shareBtn,Share,,Shopkeeper: dashboard,
share.shared,Opening share…,,Shopkeeper: dashboard,
share.subtitle,"Make a poster with your offer and store QR, then post it to WhatsApp Status, Instagram or Facebook.",,Shopkeeper: dashboard,
share.title,Share your shop,,Shopkeeper: dashboard,
snl.auto,Auto,,Shopkeeper: settings,
snl.desc,Customers see your shop name in their own language. These are filled in automatically — edit any that need a fix.,,Shopkeeper: settings,
snl.english,English name,,Shopkeeper: settings,
snl.owner,Edited by you,,Shopkeeper: settings,
snl.review,Needs review,,Shopkeeper: settings,
snl.title,Shop name in other languages,,Shopkeeper: settings,
stale.line,These figures were last updated {when}. They may have changed since.,{when},Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
stale.title,Shown from this phone,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
sup.addItem,Add item,,Shopkeeper: suppliers/index,
sup.brands,Brands,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index,
sup.cancelConfirm,Cancel this purchase order?,,Shopkeeper: suppliers/orders/[id],
sup.cancelled,This order was cancelled.,,Shopkeeper: suppliers/orders/[id],
sup.carries,Carries,,Shopkeeper: suppliers/index,
sup.clearFilters,Clear filters,,Shopkeeper: suppliers/index,
sup.empty,No suppliers found for your city yet.,,Shopkeeper: suppliers/index,
sup.emptyHint,"Suppliers are matched to your shop’s city. Set your city in Settings, or check back soon.",,Shopkeeper: suppliers/index,
sup.entriesFor,Entries — {name},{name},Shopkeeper: suppliers/ledger,
sup.farmerBadge,🌾 Farmer,,Shopkeeper: suppliers/index,
sup.filterEmpty,No suppliers match these filters.,,Shopkeeper: suppliers/index,
sup.freshFilter,🌾 Fresh from farmers,,Shopkeeper: suppliers/index,
sup.hideEntries,Hide entries,,Shopkeeper: suppliers/ledger,
sup.itemName,Item name,,Shopkeeper: distributor/orders/[id]; Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index,
sup.itemsN,{n} item{s},{n} {s},Shopkeeper: suppliers/orders,
sup.ledgerEmpty,You don’t owe any supplier right now.,,Shopkeeper: suppliers/ledger,
sup.ledgerTitle,What I owe suppliers,,Shopkeeper: suppliers/ledger,
sup.minOrder,Min order,,Shopkeeper: suppliers/index,
sup.nav,Suppliers,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
sup.needItem,Add at least one item with a quantity.,,Shopkeeper: suppliers/index,
sup.newPO,New purchase order,,Shopkeeper: suppliers/index,
sup.noMinOrder,No minimum,,Shopkeeper: suppliers/index,
sup.orderBack,Purchase orders,,Shopkeeper: suppliers/orders/[id],
sup.orderingFrom,Ordering from {name},{name},Shopkeeper: suppliers/index,
sup.ordersEmpty,No purchase orders yet.,,Shopkeeper: suppliers/orders; Shopkeeper: suppliers/orders/[id],
sup.ordersTitle,My purchase orders,,Shopkeeper: suppliers/orders,
sup.placedOn,Placed {when},{when},Shopkeeper: suppliers/orders,
sup.poRef,PO,,Shopkeeper: suppliers/ledger,
sup.priceNote,You send items and quantities; the supplier sets the prices.,,Shopkeeper: suppliers/index,
sup.pricesPending,The supplier sets prices when they confirm this order.,,Shopkeeper: suppliers/orders/[id],
sup.qty,Qty,,Shopkeeper: distributor/orders/[id]; Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index,
sup.reorder,Reorder from this supplier,,Shopkeeper: suppliers/index,
sup.searchCatalogue,Search my products…,,Shopkeeper: suppliers/index,
sup.send,Send order,,Shopkeeper: suppliers/index,
sup.sent,Order sent to {name}. They will price it and confirm.,{name},Shopkeeper: suppliers/index,
sup.subtitle,Distributors serving your city. Reorder stock in a few taps.,,Shopkeeper: suppliers/index,
sup.supplier,Supplier,,Shopkeeper: suppliers/orders/[id],
sup.tabDiscover,Discover,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index; Shopkeeper: suppliers/ledger,
sup.tabLedger,What I owe,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index; Shopkeeper: suppliers/ledger,
sup.title,Suppliers near you,,Shopkeeper: suppliers/index,
sup.typeSupply,Supply,,Shopkeeper: suppliers/ledger,
sup.unitPrice,Unit price,,Shopkeeper: suppliers/orders/[id],
sup.viewEntries,View entries,,Shopkeeper: suppliers/ledger,
sup.village,Village,,Shopkeeper: suppliers/index,
txn.adjustment,adjustment,,Shopkeeper: customers/[id]; Shopper: account,
voice.err.denied,Allow microphone access to search by voice,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops,
voice.err.empty,Didn’t catch that — tap the mic and speak,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops,
voice.err.generic,Voice search didn’t work — please type,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops,
voice.err.ios,Voice search isn’t supported on iPhone yet — please type,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops,
voice.err.network,Voice search needs a connection,,Shopper: products; Shopper: shop/[shopId]; Shopper: shops,
