key,english,placeholders,where_it_appears
dlv.inactive,Inactive,,Shopkeeper: delivery
dlv.name,Name,,Shopkeeper: delivery
dlv.namePlaceholder,e.g. Ravi,,Shopkeeper: delivery
dlv.needChampion,Pick a champion first.,,Shopkeeper: delivery
dlv.noChampions,No champions yet. Add your first delivery agent above.,,Shopkeeper: delivery
dlv.noOrders,No home-delivery orders yet.,,Shopkeeper: delivery
dlv.orders,Delivery orders,,Shopkeeper: delivery
dlv.phone,Phone (optional),,Shopkeeper: delivery
dlv.phonePlaceholder,e.g. 98xxxxxxxx,,Shopkeeper: delivery
dlv.pickChampion,Pick a champion,,Shopkeeper: delivery
dlv.subtitle,Register your delivery agents and assign home-delivery orders to them. Each champion gets a no-login link to mark orders picked up and delivered.,,Shopkeeper: delivery
dlv.title,Delivery Champions,,Shopkeeper: delivery
dlv.unassigned,Not assigned,,Shopkeeper: delivery
