key,english,placeholders,where_it_appears
dist.unitPriceRs,Unit price (₹),,Shopkeeper: distributor/orders/[id]
dist.village,Village,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.whatsapp,WhatsApp number,,Shopkeeper: distributor/account; Shopkeeper: distributor/register
dist.yourName,Your name,,Shopkeeper: distributor/register
dlv.activate,Activate,,Shopkeeper: delivery
dlv.active,Active,,Shopkeeper: delivery
dlv.activeDeliveries,{n} active,{n},Shopkeeper: delivery
dlv.add,Add champion,,Shopkeeper: delivery
dlv.addTitle,Add a champion,,Shopkeeper: delivery
dlv.area,Area (optional),,Shopkeeper: delivery
dlv.areaPlaceholder,e.g. Sector 5 / 560001,,Shopkeeper: delivery
dlv.assign,Assign,,Shopkeeper: delivery
dlv.assigning,Assigning…,,Shopkeeper: delivery
dlv.champion,Champion,,Shopkeeper: delivery
dlv.champions,Champions,,Shopkeeper: delivery
dlv.copied,Copied!,,Shopkeeper: delivery
dlv.copyLink,Copy link,,Shopkeeper: delivery
dlv.deactivate,Deactivate,,Shopkeeper: delivery
dlv.deliveredCount,{n} delivered,{n},Shopkeeper: delivery
dlv.feeLabel,Incentive ₹ (optional),,Shopkeeper: delivery
dlv.inactive,Inactive,,Shopkeeper: delivery
dlv.namePlaceholder,e.g. Ravi,,Shopkeeper: delivery
dlv.needChampion,Pick a champion first.,,Shopkeeper: delivery
dlv.noChampions,No champions yet. Add your first delivery agent above.,,Shopkeeper: delivery
dlv.noOrders,No home-delivery orders yet.,,Shopkeeper: delivery
dlv.orders,Delivery orders,,Shopkeeper: delivery
dlv.phone,Phone (optional),,Shopkeeper: delivery
dlv.phonePlaceholder,e.g. 98xxxxxxxx,,Shopkeeper: delivery
dlv.pickChampion,Pick a champion,,Shopkeeper: delivery
dlv.subtitle,Register your delivery agents and assign home-delivery orders to them. Each champion gets a no-login link to mark orders picked up and delivered.,,Shopkeeper: delivery
dlv.unassigned,Not assigned,,Shopkeeper: delivery
err.accountStopped,This account has been stopped. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.signInRejected,"That number, email or password is not right. Please check and try again.",,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
err.suspended,This shop has been stopped by Smart Digital Khata. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
mod.pendingAria,{n} items waiting for review,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.enableSound,Turn on sound,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.mute30,Mute 30 min,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.open,Open,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.setClamped,The platform limits how often alerts may repeat — your value was adjusted to the nearest allowed one.,,Shopkeeper: settings
oalert.setMutedUntil,Muted until {when},{when},Shopkeeper: settings
oalert.settings,Alert settings,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oalert.unmute,Unmute,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
oedit.historyBy,"{who}, {when}",{who} {when},Shopkeeper: orders/[id]
oedit.moneyCredit,{amount} will come off this customer's khata.,{amount},Shopkeeper: orders/[id]
open.closureDate,Date,,Shopkeeper: settings
open.open,Open,,Shopkeeper: dashboard
ord.advanceCol,Advance,,Shopkeeper: orders
ostatus.cancelledNote,This order was cancelled.,,Shopper: orders/[id]
own.pause,Pause,,Shopkeeper: dashboard
pay.cashOnDelivery,Cash on delivery,,Shopper: orders/[id]
pay.cashOnPickup,Cash on pickup,,Shopper: orders/[id]
promo.balanceLabel,Your Khata Credits,,Shopkeeper: promote
promo.clicks,Taps,,Shopkeeper: promote
promo.costLabel,Cost,,Shopkeeper: promote
promo.days,How many days,,Shopkeeper: promote
promo.disabledNote,Shop promos are not available right now. Please check back later.,,Shopkeeper: promote
promo.empty,No placements yet. Boost your shop above to appear to nearby shoppers.,,Shopkeeper: promote
promo.freeCap,"Up to {days} days, and {max} free promo running at a time.",{days} {max},Shopkeeper: promote
promo.freeDisabledNote,Free promo requests are not available right now. Please check back later.,,Shopkeeper: promote
promo.freeLimit,You already have a free promo pending or live. Wait for it to finish before requesting another.,,Shopkeeper: promote
promo.freeSubmit,Request free promo,,Shopkeeper: promote
promo.freeSubmitted,Request sent for review. It goes live once approved.,,Shopkeeper: promote
promo.freeSubmitting,Requesting…,,Shopkeeper: promote
promo.freeSubtitle,No Khata Credits needed. Our team reviews it before it goes live.,,Shopkeeper: promote
promo.freeTitle,Request a free promo,,Shopkeeper: promote
promo.freeUsed,You have {count} of {max} free promo(s) pending or live.,{count} {max},Shopkeeper: promote
promo.impr,Views,,Shopkeeper: promote
promo.lowBalance,Not enough Khata Credits for this. Reduce the days or earn more credits.,,Shopkeeper: promote
promo.myPlacements,My placements,,Shopkeeper: promote
promo.nav,Boost,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
promo.offerPlaceholder,e.g. Fresh stock daily,,Shopkeeper: promote
promo.offerText,Offer line (optional),,Shopkeeper: promote
promo.paidBadge,Boosted,,Shopkeeper: promote
promo.perDay,{amount} / day,{amount},Shopkeeper: promote
promo.refundNote,"If a promo is rejected, your Khata Credits are refunded in full.",,Shopkeeper: promote
promo.reviewNote,Review note,,Shopkeeper: promote
promo.spent,Spent,,Shopkeeper: promote
promo.stActive,Live,,Shopkeeper: promote
promo.stDraft,Draft,,Shopkeeper: promote
promo.stPaused,Paused,,Shopkeeper: promote
promo.stPending,Pending review,,Shopkeeper: promote
promo.stRejected,Rejected (refunded),,Shopkeeper: promote
promo.submit,Boost for {amount},{amount},Shopkeeper: promote
promo.submitted,Submitted for review. It goes live once approved.,,Shopkeeper: promote
promo.submitting,Submitting…,,Shopkeeper: promote
promo.subtitle,Spend your Khata Credits to feature your shop to nearby shoppers. A quick review keeps the marketplace clean before your promo goes live.,,Shopkeeper: promote
promo.subtitleField,Subtitle (optional),,Shopkeeper: promote
promo.subtitlePlaceholder,e.g. Visit us today,,Shopkeeper: promote
promo.title,Boost my shop,,Shopkeeper: promote
promo.window,Runs,,Shopkeeper: promote
