key,english,placeholders,where_it_appears
c.loc.village,Village,,Shopper: account; Shopper: cart; Shopper: khata
c.prepayHelper,"{due} clears your due, extra becomes advance",{due},Shopper: khata
c.prepayHelperNoDue,{amt} becomes an advance you can spend later,{amt},Shopper: khata
c.prepayMaxHint,You can pre-pay up to {amt} in advance,{amt},Shopper: khata
c.prepayTooMuch,You can pay at most {amt} right now.,{amt},Shopper: khata
c.productsTitle,Products,,Shopper: products; Shopper: shops
c.promo.sponsored,Sponsored,,Shopper: shop/[shopId]; Shopper: shops
c.settledLabel,Settled — nothing due,,Shopper: khata
c.theme.dark,Dark,,Shopper: account; Shopper: cart; Shopper: khata
c.theme.light,Light,,Shopper: account; Shopper: cart; Shopper: khata
c.theme.title,Theme,,Shopper: account; Shopper: cart; Shopper: khata
cat.savePhoto,Save photo,,Shopkeeper: catalog
cat.uploadingPhoto,Uploading…,,Shopkeeper: catalog
champ.address,Deliver to,,Shopkeeper: d/[token]
champ.call,Call,,Shopkeeper: d/[token]
champ.doneMsg,Delivered. Thank you!,,Shopkeeper: d/[token]
champ.greeting,Hi {name},{name},Shopkeeper: d/[token]
champ.loadError,Could not load right now. Pull to refresh.,,Shopkeeper: d/[token]
champ.markDelivered,Mark delivered,,Shopkeeper: d/[token]
champ.markPickedUp,Mark picked up,,Shopkeeper: d/[token]
champ.none,No deliveries right now. Check back soon.,,Shopkeeper: d/[token]
champ.notFound,This link is not valid or has expired.,,Shopkeeper: d/[token]
champ.pickedBadge,Picked up,,Shopkeeper: d/[token]
champ.refresh,Refresh,,Shopkeeper: d/[token]
champ.subtitle,"Your assigned deliveries. Mark each one picked up, then delivered.",,Shopkeeper: d/[token]
champ.title,My Deliveries,,Shopkeeper: d/[token]
champ.total,Order total,,Shopkeeper: d/[token]
champ.updating,Updating…,,Shopkeeper: d/[token]
common.refresh,Refresh,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
common.retry,Try again,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
content.nav,Content,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
credits.balanceLabel,Your Khata Credits,,Shopkeeper: account
credits.bySource,By source,,Shopkeeper: account
credits.earnedTitle,Earned so far,,Shopkeeper: account
credits.empty,No credits yet — refer a shop to start earning,,Shopkeeper: account
credits.pending,{amt} pending,{amt},Shopkeeper: account
credits.recentTitle,Recent activity,,Shopkeeper: account
credits.spendNote,"Spend on your subscription, promos and more",,Shopkeeper: account
credits.title,Khata Credits,,Shopkeeper: account
csfaq.subtitle,"Answers your shops have shared — timings, delivery, returns and more.",,Shopper: account
csfaq.title,Questions about your shops,,Shopper: account
ctab.products,Products,,Shopper: account; Shopper: cart; Shopper: khata
dem.addItem,Add item,,Shopkeeper: suppliers/demand
dem.boardTitle,Demand board,,Shopkeeper: suppliers/demand
dem.cancel,Cancel need,,Shopkeeper: suppliers/demand
dem.cancelConfirm,Cancel this demand post?,,Shopkeeper: suppliers/demand
dem.claim,Claim & make order,,Shopkeeper: distributor/demand
dem.claimedBy,Claimed by {name},{name},Shopkeeper: suppliers/demand
dem.claiming,Claiming…,,Shopkeeper: distributor/demand
dem.distSubtitle,Upcoming needs from shops near you. Claim one to make an order.,,Shopkeeper: distributor/demand
dem.myPosts,My posted needs,,Shopkeeper: suppliers/demand
dem.nav,Demand board,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index
dem.nearYou,Needs near you,,Shopkeeper: distributor/demand
dem.needItem,Add at least one item with a quantity.,,Shopkeeper: suppliers/demand
dem.neededBy,Needed by,,Shopkeeper: suppliers/demand
dem.neededByOn,Needed by {when},{when},Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand
dem.noDate,No date set,,Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand
dem.noOpen,No open needs near you right now.,,Shopkeeper: distributor/demand
dem.noPosts,You haven’t posted any needs yet.,,Shopkeeper: suppliers/demand
dem.ownerSubtitle,Post what you need soon. Nearby farmers claim it and make the order.,,Shopkeeper: suppliers/demand
dem.post,Post need,,Shopkeeper: suppliers/demand
dem.postNeed,Post a need,,Shopkeeper: suppliers/demand
dem.posted,Need posted.,,Shopkeeper: suppliers/demand
dem.posting,Posting…,,Shopkeeper: suppliers/demand
dem.viewOrder,View order,,Shopkeeper: suppliers/demand
